prolific_id,experiment,counterbalancing,query_stimulus,ref_left_stimulus,ref_right_stimulus,ref_left_y_offset,ref_right_y_offset,rt,response,trial_stage,trial_index,time_elapsed,session,correct,correct_response,query_item,ref_left,ref_right,dist_query_ref_left,dist_query_ref_right,dist_ref_left_ref_right,abs_dist_query_ref_left,abs_dist_query_ref_right,abs_dist_ref_left_ref_right,triplet_left_right_name,ref_lowdim,ref_highdim,dist_query_ref_lowdim,dist_query_ref_highdim,dist_ref_lowdim_ref_highdim,dist_abs_query_ref_lowdim,dist_abs_query_ref_highdim,dist_abs_ref_lowdim_ref_highdim,triplet_unique_name,template_distances,template_abs_distances,triplet_rep,template_distances_rep,template_abs_distances_rep,triplet_easiness,query_position,curve_type,chosen_ref_value,chosen_ref_lowdim_highdim,chose_towards_sparse,chose_towards_highdim,chosen_ref_numeric,correct_ref_lowdim_highdim,correct_ref_left_right,correct_numeric,triplet_location,density_relative_triplet_name,correct_ref_towards_dense_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1519.6000000238419,p,practice,5,13030,1,True,p,102,86,110,16,-8,-24,16,8,24,102_86_110,86,110,16,-8,-24,16,8,24,102_86_110,16_-8_-24,8_16_24,1,1,2,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,38_30_54,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1564.2000000476837,q,practice,6,15546,1,,,38,30,46,8,-8,-16,8,8,16,38_30_46,30,46,8,-8,-16,8,8,16,38_30_46,8_-8_-16,8_8_16,1,1,1,0,query_middle,concave,30.0,ref_lowdim,0,0.0,1,nan,nan,,dense_region,102_94_110,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1160.1999999284744,q,practice,7,18078,1,True,q,102,110,30,-8,72,80,8,72,80,102_110_30,30,110,72,-8,-80,72,8,80,102_30_110,72_-8_-80,8_72_80,1,1,1,64,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,38_30_110,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,844.5,p,practice,8,20607,1,True,p,46,102,30,-56,16,72,56,16,72,46_102_30,30,102,16,-56,-72,16,56,72,46_30_102,16_-56_-72,16_56_72,1,1,1,40,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,dense_region,94_38_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1091.3999999761581,p,practice,9,23126,1,True,p,102,38,110,64,-8,-72,64,8,72,102_38_110,38,110,64,-8,-72,64,8,72,102_38_110,64_-8_-72,8_64_72,2,2,2,56,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,38_30_102,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1332.6000000238419,p,practice,10,25651,1,,,38,46,30,-8,8,16,8,8,16,38_46_30,30,46,8,-8,-16,8,8,16,38_30_46,8_-8_-16,8_8_16,2,2,2,0,query_middle,concave,30.0,ref_lowdim,0,0.0,1,nan,nan,,dense_region,102_94_110,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,0,0,959.3999999761581,q,practice,11,28166,1,True,q,102,110,38,-8,64,72,8,64,72,102_110_38,38,110,64,-8,-72,64,8,72,102_38_110,64_-8_-72,8_64_72,3,3,3,56,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,38_30_102,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1036.6999999284744,p,practice,12,30668,1,True,p,38,54,30,-16,8,24,16,8,24,38_54_30,30,54,8,-16,-24,8,16,24,38_30_54,8_-16_-24,8_16_24,2,2,3,8,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,dense_region,102_86_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,0,0,862.2000000476837,q,practice,13,33176,1,True,q,46,30,102,16,-56,-72,16,56,72,46_30_102,30,102,16,-56,-72,16,56,72,46_30_102,16_-56_-72,16_56_72,2,2,2,40,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_left,1.0,dense_region,94_38_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,0,0,2674.2000000476837,q,practice,14,36352,1,,,62,30,94,32,-32,-64,32,32,64,62_30_94,30,94,32,-32,-64,32,32,64,62_30_94,32_-32_-64,32_32_64,1,1,1,0,query_middle,concave,30.0,ref_lowdim,0,0.0,1,nan,nan,,dense_region,78_46_110,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,833.6000000238419,p,practice,15,38854,1,True,p,102,30,110,72,-8,-80,72,8,80,102_30_110,30,110,72,-8,-80,72,8,80,102_30_110,72_-8_-80,8_72_80,2,2,2,64,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,38_30_110,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,0,0,931.6000000238419,p,practice,16,41357,1,True,p,94,38,102,56,-8,-64,56,8,64,94_38_102,38,102,56,-8,-64,56,8,64,94_38_102,56_-8_-64,8_56_64,2,2,2,48,query_middle,convex,102.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,46_38_102,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,0,0,988.3999999761581,q,practice,17,43858,1,True,q,102,110,38,-8,64,72,8,64,72,102_110_38,38,110,64,-8,-72,64,8,72,102_38_110,64_-8_-72,8_64_72,4,4,4,56,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,38_30_102,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,799.6000000238419,q,practice,18,46359,1,,,62,94,30,-32,32,64,32,32,64,62_94_30,30,94,32,-32,-64,32,32,64,62_30_94,32_-32_-64,32_32_64,2,2,2,0,query_middle,concave,94.0,ref_highdim,1,1.0,2,nan,nan,,dense_region,78_46_110,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1282.7000000476837,q,practice,19,48863,1,True,q,102,110,86,-8,16,24,8,16,24,102_110_86,86,110,16,-8,-24,16,8,24,102_86_110,16_-8_-24,8_16_24,2,2,4,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,38_30_54,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1186.6999999284744,p,practice,20,51365,1,True,p,78,38,110,40,-32,-72,40,32,72,78_38_110,38,110,40,-32,-72,40,32,72,78_38_110,40_-32_-72,32_40_72,2,2,2,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,62_30_102,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1162.5,q,pre_exposure,1,2920,1,,,70,94,46,-24,24,48,24,24,48,70_94_46,46,94,24,-24,-48,24,24,48,70_46_94,24_-24_-48,24_24_48,1,1,1,0,query_middle,across_convexity,94.0,ref_highdim,1,1.0,2,nan,nan,,across_density_regions,70_46_94,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1281.1999999284744,q,pre_exposure,2,5443,1,True,q,102,110,86,-8,16,24,8,16,24,102_110_86,86,110,16,-8,-24,16,8,24,102_86_110,16_-8_-24,8_16_24,1,1,1,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,38_30_54,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,1085.2999999523163,q,pre_exposure,3,7971,1,,,94,110,78,-16,16,32,16,16,32,94_110_78,78,110,16,-16,-32,16,16,32,94_78_110,16_-16_-32,16_16_32,1,1,1,0,query_middle,convex,110.0,ref_highdim,1,1.0,2,nan,nan,,sparse_region,46_30_62,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1525.3999999761581,p,pre_exposure,4,10503,1,,,46,62,30,-16,16,32,16,16,32,46_62_30,30,62,16,-16,-32,16,16,32,46_30_62,16_-16_-32,16_16_32,1,2,2,0,query_middle,concave,30.0,ref_lowdim,0,0.0,1,nan,nan,,dense_region,94_78_110,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,1042.1000000238419,p,pre_exposure,5,13028,1,True,p,70,46,78,24,-8,-32,24,8,32,70_46_78,46,78,24,-8,-32,24,8,32,70_46_78,24_-8_-32,8_24_32,1,1,1,16,query_middle,across_convexity,78.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,across_density_regions,70_62_94,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1268.8999999761581,q,pre_exposure,6,15550,1,False,p,94,110,86,-16,8,24,16,8,24,94_110_86,86,110,8,-16,-24,8,16,24,94_86_110,8_-16_-24,8_16_24,1,1,2,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_lowdim,ref_right,0.0,sparse_region,46_30_54,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,1234.1999999284744,p,pre_exposure,7,18073,1,True,p,46,30,54,16,-8,-24,16,8,24,46_30_54,30,54,16,-8,-24,16,8,24,46_30_54,16_-8_-24,8_16_24,1,2,3,8,query_middle,concave,54.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,dense_region,94_86_110,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,2071.600000023842,p,pre_exposure,8,20657,1,,,70,78,62,-8,8,16,8,8,16,70_78_62,62,78,8,-8,-16,8,8,16,70_62_78,8_-8_-16,8_8_16,1,1,1,0,query_middle,across_convexity,62.0,ref_lowdim,0,0.0,1,nan,nan,,across_density_regions,70_62_78,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,935.7000000476837,p,pre_exposure,9,23178,1,True,p,54,30,62,24,-8,-32,24,8,32,54_30_62,30,62,24,-8,-32,24,8,32,54_30_62,24_-8_-32,8_24_32,1,2,2,16,query_middle,concave,62.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,dense_region,86_78_110,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,0,0,1014.5999999046326,q,pre_exposure,10,25688,1,True,q,46,30,70,16,-24,-40,16,24,40,46_30_70,30,70,16,-24,-40,16,24,40,46_30_70,16_-24_-40,16_24_40,1,1,1,8,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_left,1.0,dense_region,94_70_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,888.6000000238419,q,pre_exposure,11,28209,1,,,86,62,110,24,-24,-48,24,24,48,86_62_110,62,110,24,-24,-48,24,24,48,86_62_110,24_-24_-48,24_24_48,1,2,2,0,query_middle,convex,62.0,ref_lowdim,0,0.0,1,nan,nan,,sparse_region,54_30_78,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,1224.3999999761581,p,pre_exposure,12,30711,1,True,p,70,54,78,16,-8,-24,16,8,24,70_54_78,54,78,16,-8,-24,16,8,24,70_54_78,16_-8_-24,8_16_24,1,3,4,8,query_middle,across_convexity,78.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,across_density_regions,70_62_86,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1698.7999999523163,q,pre_exposure,13,33213,1,True,q,54,70,30,-16,24,40,16,24,40,54_70_30,30,70,24,-16,-40,24,16,40,54_30_70,24_-16_-40,16_24_40,1,1,2,8,query_middle,concave,70.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,dense_region,86_70_110,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,1380.0,q,pre_exposure,14,35717,1,,,70,86,54,-16,16,32,16,16,32,70_86_54,54,86,16,-16,-32,16,16,32,70_54_86,16_-16_-32,16_16_32,1,3,3,0,query_middle,across_convexity,86.0,ref_highdim,1,1.0,2,nan,nan,,across_density_regions,70_54_86,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1092.5,p,pre_exposure,15,38219,1,True,p,38,54,30,-16,8,24,16,8,24,38_54_30,30,54,8,-16,-24,8,16,24,38_30_54,8_-16_-24,8_16_24,1,2,5,8,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,dense_region,102_86_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1492.7999999523163,p,pre_exposure,16,40723,1,,,54,78,30,-24,24,48,24,24,48,54_78_30,30,78,24,-24,-48,24,24,48,54_30_78,24_-24_-48,24_24_48,1,3,3,0,query_middle,concave,30.0,ref_lowdim,0,0.0,1,nan,nan,,dense_region,86_62_110,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,0,0,1366.6999999284744,q,pre_exposure,17,43226,1,True,q,94,110,70,-16,24,40,16,24,40,94_110_70,70,110,24,-16,-40,24,16,40,94_70_110,24_-16_-40,16_24_40,1,2,3,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,46_30_70,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1783.8999999761581,q,pre_exposure,18,45728,1,False,p,70,46,86,24,-16,-40,24,16,40,70_46_86,46,86,24,-16,-40,24,16,40,70_46_86,24_-16_-40,16_24_40,1,3,4,8,query_middle,across_convexity,46.0,ref_lowdim,0,0.0,1,ref_highdim,ref_right,0.0,across_density_regions,70_54_94,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1585.5,q,pre_exposure,19,48231,1,True,q,46,54,30,-8,16,24,8,16,24,46_54_30,30,54,16,-8,-24,16,8,24,46_30_54,16_-8_-24,8_16_24,2,4,6,8,query_middle,concave,54.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,dense_region,94_86_110,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1658.6999999284744,p,pre_exposure,20,50733,1,,,102,94,110,8,-8,-16,8,8,16,102_94_110,94,110,8,-8,-16,8,8,16,102_94_110,8_-8_-16,8_8_16,1,2,2,0,query_middle,convex,110.0,ref_highdim,1,1.0,2,nan,nan,,sparse_region,38_30_46,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,1308.8000000715256,p,pre_exposure,21,53235,1,True,p,70,94,54,-24,16,40,24,16,40,70_94_54,54,94,16,-24,-40,16,24,40,70_54_94,16_-24_-40,16_24_40,1,2,5,8,query_middle,across_convexity,54.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,across_density_regions,70_46_86,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,1238.7999999523163,q,pre_exposure,22,55738,1,True,q,38,30,62,8,-24,-32,8,24,32,38_30_62,30,62,8,-24,-32,8,24,32,38_30_62,8_-24_-32,8_24_32,1,1,3,16,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_left,1.0,dense_region,102_78_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,823.5999999046326,p,pre_exposure,23,58240,1,False,q,70,78,54,-8,16,24,8,16,24,70_78_54,54,78,16,-8,-24,16,8,24,70_54_78,16_-8_-24,8_16_24,2,5,7,8,query_middle,across_convexity,54.0,ref_lowdim,0,0.0,1,ref_highdim,ref_left,0.0,across_density_regions,70_62_86,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,1657.6999999284744,q,pre_exposure,24,60742,1,,,46,30,62,16,-16,-32,16,16,32,46_30_62,30,62,16,-16,-32,16,16,32,46_30_62,16_-16_-32,16_16_32,2,4,4,0,query_middle,concave,30.0,ref_lowdim,0,0.0,1,nan,nan,,dense_region,94_78_110,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1163.7000000476837,q,pre_exposure,25,63245,1,True,q,70,62,86,8,-16,-24,8,16,24,70_62_86,62,86,8,-16,-24,8,16,24,70_62_86,8_-16_-24,8_16_24,1,3,8,8,query_middle,across_convexity,62.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_left,1.0,across_density_regions,70_54_78,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1452.7000000476837,p,pre_exposure,26,65748,1,True,p,38,62,30,-24,8,32,24,8,32,38_62_30,30,62,8,-24,-32,8,24,32,38_30_62,8_-24_-32,8_24_32,2,2,4,16,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,dense_region,102_78_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1357.6999999284744,p,pre_exposure,27,68250,1,True,p,46,70,30,-24,16,40,24,16,40,46_70_30,30,70,16,-24,-40,16,24,40,46_30_70,16_-24_-40,16_24_40,2,3,6,8,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,dense_region,94_70_110,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,1582.3999999761581,p,pre_exposure,1,2987,2,True,p,86,110,78,-24,8,32,24,8,32,86_110_78,78,110,8,-24,-32,8,24,32,86_78_110,8_-24_-32,8_24_32,1,3,5,16,query_middle,convex,78.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,sparse_region,54_30_62,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1169.5,q,pre_exposure,2,5512,2,,,94,78,110,16,-16,-32,16,16,32,94_78_110,78,110,16,-16,-32,16,16,32,94_78_110,16_-16_-32,16_16_32,2,5,5,0,query_middle,convex,78.0,ref_lowdim,0,0.0,1,nan,nan,,sparse_region,46_30_62,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,1284.5999999046326,q,pre_exposure,3,8038,2,,,70,62,78,8,-8,-16,8,8,16,70_62_78,62,78,8,-8,-16,8,8,16,70_62_78,8_-8_-16,8_8_16,2,3,3,0,query_middle,across_convexity,62.0,ref_lowdim,0,0.0,1,nan,nan,,across_density_regions,70_62_78,nan
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,934.4000000953674,q,pre_exposure,4,10552,2,True,q,102,110,78,-8,24,32,8,24,32,102_110_78,78,110,24,-8,-32,24,8,32,102_78_110,24_-8_-32,8_24_32,1,3,6,16,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,38_30_62,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1372.3999999761581,q,pre_exposure,5,13056,2,True,q,86,78,110,8,-24,-32,8,24,32,86_78_110,78,110,8,-24,-32,8,24,32,86_78_110,8_-24_-32,8_24_32,2,4,7,16,query_middle,convex,78.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_left,1.0,sparse_region,54_30_62,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1139.7000000476837,q,pre_exposure,6,15587,2,True,q,70,86,46,-16,24,40,16,24,40,70_86_46,46,86,24,-16,-40,24,16,40,70_46_86,24_-16_-40,16_24_40,2,4,7,8,query_middle,across_convexity,86.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,across_density_regions,70_54_94,ref_towards_sparse
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1137.6000000238419,p,pre_exposure,7,18113,2,False,q,94,86,110,8,-16,-24,8,16,24,94_86_110,86,110,8,-16,-24,8,16,24,94_86_110,8_-16_-24,8_16_24,2,4,9,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_lowdim,ref_left,0.0,sparse_region,46_30_54,ref_towards_dense
sub_81,1,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,0,0,1730.6000000238419,q,pre_exposure,8,20639,2,,,70,46,94,24,-24,-48,24,24,48,70_46_94,46,94,24,-24,-48,24,24,48,70_46_94,24_-24_-48,24_24_48,2,4,4,0,query_middle,across_convexity,46.0,ref_lowdim,0,0.0,1,nan,nan,,across_density_regions,70_46_94,nan
